,name,company
398,Сервисный консультант,Hyundai Aktau
399,Тьютор по математике,Филиал Центр образовательных проектов SMG Education Aktau
402,Менеджер Магазина,Сактаганов
403,Мерчандайзер,Prima Distribution
405,Менеджер по продажам строительных материалов,LEV STROY
406,Клинер в Burger King (Ардагер),"“QSR” ,ТМ BURGER KING"
407,Менеджер по продажам,ADMIRE UNI
409,Специалист отдела маркетинга и рекламы,Chaikhana NAVAT ( Чайхана НАВАТ)
410,Менеджер по развитию корпоративных продаж,Sinooil
411,Продавец-консультант,Mechta.kz TM ( ТОО Мечта Маркет )
413,Экономист Финансового отдела,Caspian Riviera
415,Менеджер по персоналу,Судовое оборудование и сервис
416,Медицинская сестра/медицинский брат,INVITRO (ТОО ИНВИТРО-Казахстан)
417,Специалист по клиентскому сервису,ACTON FLOW
418,Слесарь,Hayat Builders Company
421,Менеджер по продажам,Keramos Trade
422,Инженер по контролю качества (г. Актау),KZF Service
423,Бухгалтер,Термакс
424,Инженер по охране труда и технике безопасности,Технология увеличения нефтегазоизлечения(Тунгиз)
425,Бухгалтер,ChemCore
427,Техник,"Beeline, ТМ"
429,Машинист каротажной станции,ГеоМунайРесурс
430,Управляющий рестораном,Chaikhana NAVAT ( Чайхана НАВАТ)
431,Кассир банка,Bereke Bank
432,Территориальный менеджер,QazaqOil (PetroRetail)
433,Официант,МВС-Групп
434,Шеф повар в Чайхана NAVAT,Chaikhana NAVAT ( Чайхана НАВАТ)
435,СММ Мобилограф,Q4TULPAR_AUTO
436,Продавец-кассир,Romantic
437,Промоутер - консультант Бытовой техники Haier,ИНСТОР
438,Шеф-бариста в г. Актау,Кульманова У.Е
439,Продавец-кассир в магазин Интертоп (ТРЦ Актау),"Интертоп Центральная Азия ,ТМ (INTERTOP)"
440,Кладовщик на производство,Судовое оборудование и сервис
442,Бухгалтер,Hayat Builders Company
443,Медицинский представитель,Представительство компании DR. SERTUS İLAÇ SANAYİ VE TİCARET LİMİTED ŞİRKETİ В РЕСПУБЛИКЕ КАЗАХСТАН
444,Инженер-проектировщик ОВИК,СПМНУ
446,Бухгалтер калькулятор,HOTEL VICTORY (ОТЕЛЬ ВИКТОРИ)
447,Заведующий складом на производственную базу,Сауыт Компании
448,Руководитель отдела маркетинга и рекламы,Жайлы Орын
449,Начальник отдела закупок,Судовое оборудование и сервис
450,Инженер электротехнической лаборатории,АК БЕКЕТ
452,Руководитель оператора колл центра,Romantic
454,Инженер по жилищному строительству (Технология + Производство),CHINA HYWAY GROUP LIMITED
455,Стоматолог-терапевт/ортопед,Мамбетназаров
457,Учитель английского языка,Tanym School
458,Бурильщик капитального ремонта скважин,Юго-Восточная сервисная группа
459,Менеджер-экспедитор,EuroEquip&Service
461,Лаборант по физико-механическим испытаниям,Каскор-Машзавод
462,Бармен,Акперова Светлана Алекпер кызы
463,Супервайзер торговых представителей,АктауДарияСервис
465,Выездной менеджер активных продаж,Master Builders
466,Торговый представитель (ближний пригород),Common Market Corporation
467,Специалист по работе с клиентами в Tele2/Altel,ADVERSO GROUP (АДВЕРСО ГРУП)
468,Торговый представитель по салонам красоты,IMPULSE
469,Бухгалтер по реализации,Hyundai Aktau
470,Инженер КИПиА радионавигация,Судовое оборудование и сервис
471,Массажист,Аксон Мед
472,Менеджер-кассир,Мухаметьянова
473,Бухгалтер-кассир,LEV STROY
474,Продавец-консультант,Мангистау-Волна
475,Менеджер по тендерам,Сауыт Компании
476,Помощник/ассистент руководителя,Lalaser Land
478,Менеджер-консультант,Престиж (ТОО Идальго Актау)
480,Бухгалтер-кассир,ADVER.KZ
481,Супервайзер,BAIS GROUP KZ
483,Оператор производственной линии (логистика),ЛЕРТЕКО-ГРУПП
484,Продавец-консультант магазин Colin's Ak Kala Mall,Union Space`TM (ТОО Brand Hub Group)
486,Юрист,EKO GAZ AKTAU (ЭКО ГАЗ АКТАУ)
488,Менеджер по работе с клиентами,Capital Partners Qazaqstan
489,Начальник участка (насосная станция),Астанаинжкомстрой
490,Официант в город Актау,Кульманова У.Е
492,Продавец-консультант МБТ (Актау Жигер),TECHNODOM Operator (Технодом Оператор)
493,Продавец-кассир в ювелирный магазин PANDORA (ТРК Актау),"Интертоп Центральная Азия ,ТМ (INTERTOP)"
494,Медицинский представитель,SETONDA - KZ (СЕТОНДА-КЗ)
495,Менеджер по закупу и логистике,Жайлы Орын
498,Инженер ПТО,Ibrohim Construction
501,Менеджер по продажам,Adamant
502,Оператор по выпуску блоков,Сауыт Компании
503,Медсестра/медбрат/ассистент стоматолога,Семёнов А.А.
504,Разнорабочий в строительную компанию,ИнтегроСофт
506,Флорист,Royal Flowers
507,Визуальный мерчендайзер (магазина Colins ТРЦ Ak Kala Mall),Union Space`TM (ТОО Brand Hub Group)
509,Инженер по подбору и эксплуатации УЭЦН,Well Master
511,Старший/ведущий специалист в группу архитектурное строительство,Проектный институт OPTIMUM
512,Инженер-Энергетик (КИП) в нефтегазовой отрасли,Right Contact
513,Инспектор по управлению целостности шлангов,QUALITY HOSE SERVICES
515,Специалист IT-поддержки,Elite Business Group
516,Ведущий специалист,Bereke Bank
517,Преподаватель по математике,Today aktau
518,Менеджер по продажам,НБН
519,Специалист службы безопасности (СБ),М-Ломбард
520,Проектный менеджер по ПРОДАЖАМ в сфере автоматизации,Riza global
521,Преподаватель английского языка,Зерделі
522,Экономист по планированию,Каспий Цемент
523,Прораб,Caspian Coast
524,Главный технический руководитель по производственной безопасности,"Международный аэропорт Актау, АО"
525,Директор магазина,ИнтегроСофт
526,Менеджер по продажам в магазин,ИнтегроСофт
527,Менеджер торгового зала (Saya Park),LPP Kazakhstan (ЛПП Казахстан)
528,SMM-менеджер,Батыс Инвест Груп
529,Главный менеджер по обслуживанию юридических лиц в Управление сопровождения и развития клиентов,Jusan Bank
531,Агент по недвижимости,ЭТАЖИ (ИП Привальцев А.А.)
532,Менеджер - дизайнер,"Дельта Капитал, ТОО"
533,Менеджер по продажам оборудования,Воротные системы
534,Супервайзер торговых представителей,УӘЛИХАН АТА
535,Врач-гастроэнтеролог,Аксон Мед
536,"Промоутер, бренд IQOS Хорека",АЛИДИ Казахстан
537,Продавец-консультант (Актау Жигер),TECHNODOM Operator (Технодом Оператор)
538,Инженер-энергетик,СМК-Атамекен
539,Бухгалтер-экономист,DCG Aktau
540,Бухгалтер по производству,Bereket Meat Group
541,B2C Менеджер по продажам строительных материалов,Сауыт Компании
542,Официант,JS Qazaqstan
543,Заведующий складом,ТехноGRAD
544,Менеджер по корпоративной работе,Трансавиа
545,Монтажник слаботочных систем со своим автотранспортом,Alchin
547,Инженер,GEOS Research Group (ГЕОС Ресёч Групп)
548,Директор отдела розничных продаж,Престиж (ТОО Идальго Актау)
549,Выездной менеджер активных продаж,KAZSAFETY
550,Менеджер по продажам логистика,КОШКИНБАЕВ А.Х.
551,Тракторист,"Международный аэропорт Актау, АО"
552,Разнорабочий/подсобный рабочий,Hayat Builders Company
554,Дизайнер мебели,FINE INTERIOR
555,Инспектор по контролю качества,Каскор-Машзавод
557,Директор розницы,Жайлы Орын
558,Инженер по метрологии,Каскор-Машзавод
559,Инженер по строительству ПТО (куратор),Гелиос
562,Менеджер смены ресторана KFC (Актау),Caspian International Restaurants company
563,Администратор торгового зала,Skill Hub
564,Заведующий лабораторией ПЦР,КДЛ ОЛИМП (ТОО Мырза-Хан)
566,Инженер-электрик,Судовое оборудование и сервис
568,Оператор колл-центра,Смартер Казахстан
569,SMM-специалист продвижения компаний NEO,HOMBRE
570,Инженер-геодезист (камеральная обработка),Китайская Строительная Компания
571,Инженер ПТО-сметчик,KING CONSTRUCTION
573,Учитель информатики,Tanym School
574,Региональный менеджер по работе с клиентами,«ФИНАНСОВЫЙ ХОЛДИНГ «РЕСПУБЛИКА»
577,Инженер-сметчик (Контроль закрывающих актов),CHINA HYWAY GROUP LIMITED
578,Автомеханик,Skill Hub
579,Педагог-организатор,Tanym School
580,Начальник отдела сбыта. НОП,Масло-Дел
581,Водитель-экспедитор,Дудар
582,Газоэлектросварщик,Hayat Builders Company
583,Инженер ПТО,Мантеком
584,"Инженер-конструктор, село Шетпе, Мангистауская область",Каспий Цемент
585,Менеджер по закупу,ФИЛИАЛ ТОВАРИЩЕСТВА С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ АНВАР
586,Кредитный менеджер в отдел кредитования,"Иностранная финансовая компания, специализирующаяся на предоставлении микрокредитов населению"
587,Оператор 1С (по реализации товара),Жалын 2040
588,Оператор складского учета (оператор 1С),Жалын 2040
589,Менеджер по продажам,Nomad Union Company
590,Эксперт консультант,Жилищный строительный сберегательный банк Отбасы банк
591,Инженер-проектировщик ЭО; ЭС; ГСН; ГСВ;,«Qazaq Building Project»
593,Менеджер по продаже услуг косметологии и салона красоты,DOSTAR-TRADE
594,Флорист,Flowers Astana
595,Инженер-сметчик,Ондасын Строй
596,Офис-менеджер,GEO ENERGY GROUP (ГЕО ЭНЕРДЖИ ГРУПП)
597,Менеджер по закупкам,Power System
598,Мастер строительного участка,Ibrohim Construction
599,Специалист по переговорам канал BC (кофе Jacobs),Apple City Corps
600,Менеджер по работе с клиентами,Онлайн экспресс доставка
602,Ведущий инженер технологической группы,Проектный институт OPTIMUM
603,Специалист Отдела сопровождения и посткредитного обслуживания,Жилищный строительный сберегательный банк Отбасы банк
604,Торговый представитель по электротоварам ТМ ЭРА,Бостан
606,ШОБ кредит менеджері / Кредитный менеджер МСБ,ForteBank
607,Слухопротезист (аудиолог),Исток Аудио Казахстан
608,Инструктор ЛФК,Аксон Мед
609,Специалист лаборатории,Orhun Medical
610,Руководитель отдела продаж,Skill Hub
612,Мастер-специалист по ремонту и изготовлению РВД Рукава высокого давления,Marine Support Services
613,.NET Intern,"Epam Kazakhstan (Эпам Казахстан),ТОО"
614,Менеджер по продажам автомобилей,Skill Hub
615,Стоматолог-ортопед,Семёнов А.А.
616,Специалист отдела продаж в строительную компанию,Caspian Coast
617,Инженер-эксперт по техническому надзору,АДС САПА
618,Инженер ПТО,АК БЕКЕТ
619,Стоматолог-терапевт,prosmile
620,Специалист по кадрам,Юго-Восточная сервисная группа
621,Инженер ПТО,Ондасын Строй
623,Материальный бухгалтер,Bolashak Atyrau
624,Моторист по ремонту дизельных двигателей,Gatin Construction
625,Менеджер по продажам (медицинский представитель),INVITRO (ТОО ИНВИТРО-Казахстан)
626,Директор по корпоративным продажам,"Евразия, Страховая компания"
628,Оператор Call-центра в SMARTER,Смартер Казахстан
629,Заведующий складом,Dina market
